parser,doc_id,id,gold,pred,score,ok,match_type,verdict,overconfident,judge_reason,missing_points,superfluous_points
md_marker,zt4200s_ego_zero-turn-riding-mower_version-a,1,ZT4200S,ZT4200S,1.0,1,exact,correct,0,rule:exact,,
md_marker,zt4200s_ego_zero-turn-riding-mower_version-a,2,Zero Turn Riding Mower,Zero-turn riding mower,1.0,1,fuzzy≥90,correct,0,rule:fuzzy≥90,,
md_marker,zt4200s_ego_zero-turn-riding-mower_version-a,3,Version A,Version A,1.0,1,exact,correct,0,rule:exact,,
md_marker,zt4200s_ego_zero-turn-riding-mower_version-a,4,2827138002 (Assembly 201),2827138002,1.0,1,fuzzy≥90,correct,0,rule:fuzzy≥90,,
md_marker,zt4200s_ego_zero-turn-riding-mower_version-a,5,2831382001 (Assembly 202),2831382001; 2831393001,0.0,0,llm-rubric,incorrect,1,judge-parse-error,,
md_marker,zt4200s_ego_zero-turn-riding-mower_version-a,6,2827266002 (Assembly 203),2827266002,1.0,1,fuzzy≥90,correct,0,rule:fuzzy≥90,,
md_marker,zt4200s_ego_zero-turn-riding-mower_version-a,7,2829461001 (Assembly 204),2829461001,1.0,1,fuzzy≥90,correct,0,rule:fuzzy≥90,,
md_marker,zt4200s_ego_zero-turn-riding-mower_version-a,8,2829473001 (Assembly 205),2829473001,1.0,1,fuzzy≥90,correct,0,rule:fuzzy≥90,,
md_marker,zt4200s_ego_zero-turn-riding-mower_version-a,9,2829823001 (Assembly 206),2829823001,1.0,1,fuzzy≥90,correct,0,rule:fuzzy≥90,,
md_marker,zt4200s_ego_zero-turn-riding-mower_version-a,10,2827360002 (Assembly 207),2827360002,1.0,1,fuzzy≥90,correct,0,rule:fuzzy≥90,,
md_marker,zt4200s_ego_zero-turn-riding-mower_version-a,11,2829174002 (Assembly 208),2829174002,1.0,1,fuzzy≥90,correct,0,rule:fuzzy≥90,,
md_marker,zt4200s_ego_zero-turn-riding-mower_version-a,12,2827270002 (Assembly 209),2827270002,1.0,1,fuzzy≥90,correct,0,rule:fuzzy≥90,,
md_marker,zt4200s_ego_zero-turn-riding-mower_version-a,13,2829374002 (Assembly 210),2829374002,1.0,1,fuzzy≥90,correct,0,rule:fuzzy≥90,,
md_marker,zt4200s_ego_zero-turn-riding-mower_version-a,14,2827269001 (Assembly 211),2827269001,1.0,1,fuzzy≥90,correct,0,rule:fuzzy≥90,,
md_marker,zt4200s_ego_zero-turn-riding-mower_version-a,15,2829179001 (Assembly 212),2829179001,1.0,1,fuzzy≥90,correct,0,rule:fuzzy≥90,,
md_marker,zt4200s_ego_zero-turn-riding-mower_version-a,16,Yes. Wrench Tool Set 2829672001 (item 214),Yes; part number 2829672001,0.0,0,llm-rubric,incorrect,1,judge-parse-error,,
md_marker,zt4200s_ego_zero-turn-riding-mower_version-a,17,17 pieces (item 12),17,1.0,1,fuzzy≥90,correct,0,rule:fuzzy≥90,,
md_marker,zt4200s_ego_zero-turn-riding-mower_version-a,18,1 piece (item 24),6,0.0,0,llm-rubric,incorrect,1,judge-parse-error,,
md_marker,zt4200s_ego_zero-turn-riding-mower_version-a,19,"2827074001, quantity 1 (item 3)",Part number: 2827074001; Quantity: 1,0.0,0,llm-rubric,incorrect,1,judge-parse-error,,
md_marker,zt4200s_ego_zero-turn-riding-mower_version-a,20,"2827075001, quantity 1 (item 4)",2827075001; 1,1.0,1,fuzzy≥90,correct,0,rule:fuzzy≥90,,
md_marker,zt4200s_ego_zero-turn-riding-mower_version-a,21,"80A, part number 4970355001; quantity 4 (item 29)",80A; 4970355001,0.0,0,llm-rubric,incorrect,1,judge-parse-error,,
